2023-08-29 17:30:44,329 - INFO - ===============================================
2023-08-29 17:30:44,329 - INFO - Starting fake streaming process.
2023-08-29 17:30:44,329 - INFO - Starting to stream data from us-counties.csv to ('localhost', 9999).
2023-08-29 17:30:44,329 - INFO - Opened for reading: us-counties.csv.
2023-08-29 17:30:44,329 - INFO - Skipped header row: ['date', 'county', 'state', 'fips', 'cases', 'deaths']
2023-08-29 17:30:44,334 - INFO - Sent: b'[2020-01-21, Snohomish, Washington, 53061, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:30:47,336 - INFO - Sent: b'[2020-01-22, Snohomish, Washington, 53061, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:30:50,337 - INFO - Sent: b'[2020-01-23, Snohomish, Washington, 53061, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:30:53,352 - INFO - Sent: b'[2020-01-24, Cook, Illinois, 17031, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:30:56,363 - INFO - Sent: b'[2020-01-24, Snohomish, Washington, 53061, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:30:59,363 - INFO - Sent: b'[2020-01-25, Orange, California, 06059, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:31:02,374 - INFO - Sent: b'[2020-01-25, Cook, Illinois, 17031, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:31:05,389 - INFO - Sent: b'[2020-01-25, Snohomish, Washington, 53061, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:31:08,402 - INFO - Sent: b'[2020-01-26, Maricopa, Arizona, 04013, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:31:11,405 - INFO - Sent: b'[2020-01-26, Los Angeles, California, 06037, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:31:14,420 - INFO - Sent: b'[2020-01-26, Orange, California, 06059, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:31:17,431 - INFO - Sent: b'[2020-01-26, Cook, Illinois, 17031, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:31:20,446 - INFO - Sent: b'[2020-01-26, Snohomish, Washington, 53061, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:31:23,458 - INFO - Sent: b'[2020-01-27, Maricopa, Arizona, 04013, 1, 0]' on port 9999. Hit CTRL-c to stop.
2023-08-29 17:31:26,459 - INFO - Sent: b'[2020-01-27, Los Angeles, California, 06037, 1, 0]' on port 9999. Hit CTRL-c to stop.
